strategy,entry_date,entry_time,direction,entry_price,exit_price,pnl,pnl_pct,max_excursion,fraction,touched,has_valid_target,touch_bar_offset,target_at_touch,remaining_after_touch,trade_bars,year
S001,2021-01-05,2021-01-05 09:08:00,long,14891.0,14857.0,-34.0,-0.2283258343966154,34.0,0.8,False,True,,,,23,2021
S001,2021-01-05,2021-01-05 09:08:00,long,14891.0,14857.0,-34.0,-0.2283258343966154,34.0,0.85,False,True,,,,23,2021
S001,2021-01-05,2021-01-05 09:08:00,long,14891.0,14857.0,-34.0,-0.2283258343966154,34.0,0.9,False,True,,,,23,2021
S001,2021-01-05,2021-01-05 09:08:00,long,14891.0,14857.0,-34.0,-0.2283258343966154,34.0,0.95,False,True,,,,23,2021
S001,2021-01-05,2021-01-05 09:08:00,long,14891.0,14857.0,-34.0,-0.2283258343966154,34.0,1.0,False,True,,,,23,2021
S001,2021-01-06,2021-01-06 09:00:00,long,15074.0,15019.0,-55.0,-0.36486665782141436,66.0,0.8,False,True,,,,37,2021
S001,2021-01-06,2021-01-06 09:00:00,long,15074.0,15019.0,-55.0,-0.36486665782141436,66.0,0.85,False,True,,,,37,2021
S001,2021-01-06,2021-01-06 09:00:00,long,15074.0,15019.0,-55.0,-0.36486665782141436,66.0,0.9,False,True,,,,37,2021
S001,2021-01-06,2021-01-06 09:00:00,long,15074.0,15019.0,-55.0,-0.36486665782141436,66.0,0.95,False,True,,,,37,2021
S001,2021-01-06,2021-01-06 09:00:00,long,15074.0,15019.0,-55.0,-0.36486665782141436,66.0,1.0,False,True,,,,37,2021
S001,2021-01-11,2021-01-11 09:01:00,long,15434.0,15480.0,46.0,0.29804328106777245,59.0,0.8,True,True,9.0,15460.189112829075,32.810887170924616,24,2021
S001,2021-01-11,2021-01-11 09:01:00,long,15434.0,15480.0,46.0,0.29804328106777245,59.0,0.85,True,True,19.0,15470.48841469185,22.511585308149733,24,2021
S001,2021-01-11,2021-01-11 09:01:00,long,15434.0,15480.0,46.0,0.29804328106777245,59.0,0.9,True,True,19.0,15475.634792026663,17.36520797333651,24,2021
S001,2021-01-11,2021-01-11 09:01:00,long,15434.0,15480.0,46.0,0.29804328106777245,59.0,0.95,True,True,20.0,15480.781169361479,12.218830638521467,24,2021
S001,2021-01-11,2021-01-11 09:01:00,long,15434.0,15480.0,46.0,0.29804328106777245,59.0,1.0,True,True,21.0,15485.927546696294,7.072453303706425,24,2021
S001,2021-01-12,2021-01-12 09:07:00,long,15555.0,15512.0,-43.0,-0.27643844423015107,50.0,0.8,True,True,5.0,15604.023744390028,0.9762556099722133,15,2021
S001,2021-01-12,2021-01-12 09:07:00,long,15555.0,15512.0,-43.0,-0.27643844423015107,50.0,0.85,False,True,,,,15,2021
S001,2021-01-12,2021-01-12 09:07:00,long,15555.0,15512.0,-43.0,-0.27643844423015107,50.0,0.9,False,True,,,,15,2021
S001,2021-01-12,2021-01-12 09:07:00,long,15555.0,15512.0,-43.0,-0.27643844423015107,50.0,0.95,False,True,,,,15,2021
S001,2021-01-12,2021-01-12 09:07:00,long,15555.0,15512.0,-43.0,-0.27643844423015107,50.0,1.0,False,True,,,,15,2021
S001,2021-01-13,2021-01-13 09:00:00,long,15587.0,15689.0,102.0,0.6543914800795535,113.0,0.8,True,True,29.0,15645.443892865791,54.556107134209014,54,2021
S001,2021-01-13,2021-01-13 09:00:00,long,15587.0,15689.0,102.0,0.6543914800795535,113.0,0.85,True,True,37.0,15664.988624157495,35.011375842505004,54,2021
S001,2021-01-13,2021-01-13 09:00:00,long,15587.0,15689.0,102.0,0.6543914800795535,113.0,0.9,True,True,41.0,15671.458543225583,28.541456774417384,54,2021
